Well,blank?
7H-A8,no
7H-A9,no
7H-B10,no
7H-B3,no
7H-B4,no
7H-B5,no
7H-B6,no
7H-B7,no
7H-B8,no
7H-B9,no
7H-C10,no
7H-C3,no
7H-C4,no
7H-C5,no
7H-C6,no
7H-C7,no
7H-C8,no
7H-C9,no
7H-D10,no
7H-D3,no
7H-D4,no
7H-D5,no
7H-D6,no
7H-D7,no
7H-D8,no
7H-D9,no
7H-E10,no
7H-E3,no
7H-E4,no
7H-E5,no
7H-E6,no
7H-E7,no
7H-E8,no
7H-E9,no
7H-F10,no
7H-F3,no
7H-F4,no
7H-F5,no
7H-F6,no
7H-F7,no
7H-F8,no
7H-F9,no
7H-G10,no
7H-G3,no
7H-G4,no
7H-G5,no
7H-G6,no
7H-G7,no
7H-G8,no
7H-G9,no
7H-H10,yes
7H-H3,yes
7H-H4,no
7H-H5,yes
7H-H6,no
7H-H7,yes
7H-H8,yes
7H-H9,yes
8E-A10,no
8E-A3,no
8E-A4,yes
8E-A5,yes
8E-A6,no
8E-A7,no
8E-A8,no
8E-A9,no
8E-B10,yes
8E-B3,no
8E-B4,no
8E-B5,no
8E-B6,no
8E-B7,no
8E-B8,no
8E-B9,no
8E-C10,no
8E-C3,no
8E-C4,no
8E-C5,no
8E-C6,no
8E-C7,no
8E-C8,no
8E-C9,yes
8E-D10,yes
8E-D3,no
8E-D4,no
8E-D5,yes
8E-D6,no
8E-D7,no
8E-D8,no
8E-D9,no
8E-E10,yes
8E-E3,no
8E-E4,no
8E-E5,no
8E-E6,no
8E-E7,no
8E-E8,no
8E-E9,no
8E-F10,no
8E-F3,no
8E-F4,no
8E-F5,no
8E-F6,no
8E-F7,no
8E-F8,no
8E-F9,no
8E-G10,no
8E-G3,no
8E-G4,no
8E-G5,no
8E-G6,yes
8E-G7,no
8E-G8,no
8E-G9,no
8E-H10,yes
8E-H3,no
8E-H4,yes
8E-H5,yes
8E-H6,yes
8E-H7,no
8E-H8,no
8E-H9,no
8F-A10,no
8F-A3,no
8F-A4,yes
8F-A5,yes
8F-A6,no
8F-A7,no
8F-A8,no
8F-A9,no
8F-B10,yes
8F-B3,no
8F-B4,no
8F-B5,no
8F-B6,no
8F-B7,no
8F-B8,no
8F-B9,no
8F-C10,no
8F-C3,no
8F-C4,no
8F-C5,no
8F-C6,no
8F-C7,no
8F-C8,no
8F-C9,yes
8F-D10,yes
8F-D3,no
8F-D4,no
8F-D5,yes
8F-D6,no
8F-D7,no
8F-D8,no
8F-D9,no
8F-E10,yes
8F-E3,no
8F-E4,no
8F-E5,no
8F-E6,no
8F-E7,no
8F-E8,no
8F-E9,no
8F-F10,no
8F-F3,no
8F-F4,no
8F-F5,no
8F-F6,no
8F-F7,no
8F-F8,no
8F-F9,no
8F-G10,no
8F-G3,no
8F-G4,no
8F-G5,no
8F-G6,yes
8F-G7,no
8F-G8,no
8F-G9,no
8F-H10,yes
8F-H3,no
8F-H4,yes
8F-H5,yes
8F-H6,yes
8F-H7,no
8F-H8,no
8F-H9,no
8G-A10,no
8G-A3,no
8G-A4,yes
8G-A5,yes
8G-A6,no
8G-A7,no
8G-A8,no
8G-A9,no
8G-B10,yes
8G-B3,no
8G-B4,no
8G-B5,no
8G-B6,no
8G-B7,no
8G-B8,no
8G-B9,no
8G-C10,no
8G-C3,no
8G-C4,no
8G-C5,no
8G-C6,no
8G-C7,no
8G-C8,no
8G-C9,yes
8G-D10,yes
8G-D3,no
8G-D4,no
8G-D5,yes
8G-D6,no
8G-D7,no
8G-D8,no
8G-D9,no
8G-E10,yes
8G-E3,no
8G-E4,no
8G-E5,no
8G-E6,no
8G-E7,no
8G-E8,no
8G-E9,no
8G-F10,no
8G-F3,no
8G-F4,no
8G-F5,no
8G-F6,no
8G-F7,no
8G-F8,no
8G-F9,no
8G-G10,no
8G-G3,no
8G-G4,no
8G-G5,no
8G-G6,yes
8G-G7,no
8G-G8,no
8G-G9,no
8G-H10,yes
8G-H3,no
8G-H4,yes
8G-H5,yes
8G-H6,yes
8G-H7,no
8G-H8,no
8G-H9,no
8H-A10,no
8H-A3,no
8H-A4,yes
8H-A5,yes
8H-A6,no
8H-A7,no
8H-A8,no
8H-A9,no
8H-B10,yes
8H-B3,no
8H-B4,no
8H-B5,no
8H-B6,no
8H-B7,no
8H-B8,no
8H-B9,no
8H-C10,no
8H-C3,no
8H-C4,no
8H-C5,no
8H-C6,no
8H-C7,no
8H-C8,no
8H-C9,yes
8H-D10,yes
8H-D3,no
8H-D4,no
8H-D5,yes
8H-D6,no
8H-D7,no
8H-D8,no
8H-D9,no
8H-E10,yes
8H-E3,no
8H-E4,no
8H-E5,no
8H-E6,no
8H-E7,no
8H-E8,no
8H-E9,no
8H-F10,no
8H-F3,no
8H-F4,no
8H-F5,no
8H-F6,no
8H-F7,no
8H-F8,no
8H-F9,no
8H-G10,no
8H-G3,no
8H-G4,no
8H-G5,no
8H-G6,yes
8H-G7,no
8H-G8,no
8H-G9,no
8H-H10,yes
8H-H3,no
8H-H4,yes
8H-H5,yes
8H-H6,yes
8H-H7,no
8H-H8,no
8H-H9,no
