Well,blank?
1C-A10,no
1C-A3,no
1C-A4,no
1C-A5,no
1C-A6,no
1C-A7,no
1C-A8,yes
1C-A9,no
1C-B10,no
1C-B3,no
1C-B4,no
1C-B5,no
1C-B6,no
1C-B7,no
1C-B8,yes
1C-B9,no
1C-C10,no
1C-C3,no
1C-C4,no
1C-C5,no
1C-C6,no
1C-C7,no
1C-C8,yes
1C-C9,no
1C-D10,no
1C-D3,no
1C-D4,no
1C-D5,no
1C-D6,no
1C-D7,no
1C-D8,yes
1C-D9,no
1C-E10,no
1C-E3,no
1C-E4,no
1C-E5,no
1C-E6,no
1C-E7,no
1C-E8,no
1C-E9,no
1C-F10,no
1C-F3,no
1C-F4,no
1C-F5,no
1C-F6,no
1C-F7,no
1C-F8,no
1C-F9,no
1C-G10,no
1C-G3,no
1C-G4,no
1C-G5,no
1C-G6,no
1C-G7,no
1C-G8,no
1C-G9,no
1C-H10,no
1C-H3,no
1C-H4,no
1C-H5,no
1C-H6,no
1C-H7,no
1C-H8,no
1C-H9,yes
1D-A10,no
1D-A3,no
1D-A4,no
1D-A5,no
1D-A6,no
1D-A7,no
1D-A8,yes
1D-A9,no
1D-B10,no
1D-B3,no
1D-B4,no
1D-B5,no
1D-B6,no
1D-B7,no
1D-B8,yes
1D-B9,no
1D-C10,no
1D-C3,no
1D-C4,no
1D-C5,no
1D-C6,no
1D-C7,no
1D-C8,yes
1D-C9,no
1D-D10,no
1D-D3,no
1D-D4,no
1D-D5,no
1D-D6,no
1D-D7,no
1D-D8,yes
1D-D9,no
1D-E10,no
1D-E3,no
1D-E4,no
1D-E5,no
1D-E6,no
1D-E7,no
1D-E8,no
1D-E9,no
1D-F10,no
1D-F3,no
1D-F4,no
1D-F5,no
1D-F6,no
1D-F7,no
1D-F8,no
1D-F9,no
1D-G10,no
1D-G3,no
1D-G4,no
1D-G5,no
1D-G6,no
1D-G7,no
1D-G8,no
1D-G9,no
1D-H10,no
1D-H3,no
1D-H4,no
1D-H5,no
1D-H6,no
1D-H7,no
1D-H8,no
1D-H9,yes
2A-A10,no
2A-A3,no
2A-A4,no
2A-A5,no
2A-A6,no
2A-A7,no
2A-A8,no
2A-A9,no
2A-B10,no
2A-B3,no
2A-B4,no
2A-B5,no
2A-B6,no
2A-B7,no
2A-B8,no
2A-B9,no
2A-C10,no
2A-C3,no
2A-C4,no
2A-C5,no
2A-C6,no
2A-C7,no
2A-C8,no
2A-C9,no
2A-D10,no
2A-D3,no
2A-D4,no
2A-D5,no
2A-D6,no
2A-D7,no
2A-D8,no
2A-D9,no
2A-E10,no
2A-E3,no
2A-E4,no
2A-E5,no
2A-E6,no
2A-E7,no
2A-E8,no
2A-E9,no
2A-F10,no
2A-F3,no
2A-F4,no
2A-F5,no
2A-F6,no
2A-F7,no
2A-F8,no
2A-F9,no
2A-G10,no
2A-G3,no
2A-G4,no
2A-G5,no
2A-G6,no
2A-G7,no
2A-G8,no
2A-G9,no
2A-H10,no
2A-H3,no
2A-H4,no
2A-H5,no
2A-H6,no
2A-H7,no
2A-H8,no
2A-H9,no
2B-A10,no
2B-A3,no
2B-A4,no
2B-A5,no
2B-A6,no
2B-A7,no
2B-A8,no
2B-A9,no
2B-B10,no
2B-B3,no
2B-B4,no
2B-B5,no
2B-B6,no
2B-B7,no
2B-B8,no
2B-B9,no
2B-C10,no
2B-C3,no
2B-C4,no
2B-C5,no
2B-C6,no
2B-C7,no
2B-C8,no
2B-C9,no
2B-D10,no
2B-D3,no
